valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.887,2017,0.0237,Demi Lovato,0.705,203760,0.64,1,7gvd8xj4QgPqbQSsn5pV7d,0,11,0.262,-6.928,0,Sorry Not Sorry,62,2017-09-29,0.225,144.077
0.496,2020,0.167,Dua Lipa,0.73,221820,0.694,0,6ftrW1qJ3TPKk1W0A0qMwO,1.05e-06,4,0.331,-4.47,0,Break My Heart,34,2020-03-26,0.0891,113.011
0.749,2019,0.0204,Bea Miller,0.776,194526,0.568,1,7cLm450e9XaPrEZTSTsfwU,1.69e-05,0,0.078,-6.419,0,it's not u it's me,63,2019-03-01,0.125,150.901
0.404,2004,0.00165,Kelly Clarkson,0.662,188960,0.741,0,3xrn9i8zhNZsTtcoWgQEAd,0.0303,0,0.114,-5.406,1,Since U Been Gone,72,2004-01-17,0.0334,131.0
0.632,2016,0.0116,Meghan Trainor,0.742,213524,0.809,0,0NmeI6UpRE27dxxgosD5n9,2.77e-06,1,0.726,-3.591,0,NO,15,2016-03-04,0.176,93.95
0.11,2016,0.111,Various Artists,0.439,177029,0.447,1,1W7zkKgRv9mrLbfdQ8XyH3,0,10,0.303,-8.318,0,Gangsta,72,2016-08-05,0.0436,121.48
0.386,2016,0.0234,JoJo,0.522,195413,0.577,1,7AVF7kutqdQyamkw6q4d7x,0,0,0.15,-6.782,1,Fuck Apologies. (feat. Wiz Khalifa),56,2016-10-14,0.309,191.662
0.355,2020,0.653,Oceans Ahead,0.574,163714,0.446,0,0V45nGnVyrEjB6ixCndY4O,0,2,0.438,-5.884,1,2 Good,41,2020-11-27,0.117,106.038
0.84,2009,0.0271,Lily Allen,0.775,219893,0.904,1,6ylAVPbjRQoNY0khgh63Jf,0.000303,1,0.06,-4.08,0,Fuck You,56,2009-01-26,0.0437,130.009
0.412,2019,0.229,Ariana Grande,0.717,207320,0.653,1,3e9HZxeyfWwjeyPAMmWSSQ,0,1,0.101,-5.634,1,thank u next,83,2019-02-08,0.0658,106.966
0.861,2008,7.95e-05,Katy Perry,0.706,220227,0.841,0,1TEjSXPdAakDotj2Wji3PU,0,7,0.0688,-3.956,1,Hot N Cold,68,2008-06-17,0.0418,132.032
0.352,2016,0.0168,Various Artists,0.642,202145,0.901,1,6p586xRu0OuyR1ftsTvFoz,1.97e-06,1,0.0887,-3.688,0,Standing in the Rain (with Mark Ronson & Dan Auerbach),55,2016-08-05,0.0773,100.039
0.685,2020,0.125,blackbear,0.782,188344,0.559,1,2mt1IqcFyY1zmYZT8Q3xw9,0,6,0.385,-7.106,0,hot girl bummer,85,2020-08-21,0.0767,129.992
0.564,2002,0.577,Justin Timberlake,0.624,288333,0.654,0,7Lf7oSEVdzZqTA0kEDSlS5,0,8,0.104,-6.582,0,Cry Me a River,74,2002-11-04,0.183,73.898
0.397,2015,0.0349,Big Sean,0.823,284387,0.733,1,4qo0aBXSAj5WaXzpKzcXWj,0,1,0.324,-5.474,1,I Don't Fuck With You,57,2015-02-24,0.0628,97.972
0.536,2020,0.217,Oceans Ahead,0.939,156983,0.842,0,4Wmi9YUyrXpHrI7IzpxmDk,4.1e-06,1,0.161,-4.112,0,Traffic Lights,42,2020-03-13,0.119,116.063
0.265,2019,0.587,Ashe,0.572,201084,0.406,1,2nC3QhMI9reBIOWutbU3Tj,4.48e-06,10,0.102,-8.624,1,Moral of the Story,77,2019-02-14,0.0427,119.812
0.377,2014,0.0904,Iggy Azalea,0.912,199938,0.716,1,3W3KtDwAIg3mAruSpnfG3Q,0,10,0.0491,-4.141,0,Fancy,71,2014-01-01,0.0697,94.981
0.305,2020,0.485,Oceans Ahead,0.739,123636,0.466,0,2lHZ4KkOCMPoACuiXS5r5c,0,5,0.108,-8.926,1,Hands,44,2020-02-14,0.0797,131.899
0.351,1995,0.00107,Underworld,0.542,264187,0.966,0,3bUNyRrTFJDd4mqvUcb1Aa,0.128,10,0.0984,-8.255,1,Born Slippy (Nuxx) - Radio Edit,58,1995-01-01,0.0421,140.071
0.81,2020,0.618,Melanie Martinez,0.714,232691,0.454,0,4AhAT2GxKdNYWc5bmdoAES,0,0,0.0586,-8.899,0,Copy Cat (feat. Tierra Whack),63,2020-02-10,0.166,175.537
0.445,2017,0.127,Anne-Marie,0.698,200105,0.882,0,3EfugazgSddQvzZpkof5I4,0,4,0.15,-3.078,0,Ciao Adios,61,2017-02-10,0.0863,106.083
0.357,2020,0.0194,Cardi B,0.935,187541,0.454,1,4Oun2ylbjFKMPTiaSbbCih,0,1,0.0824,-7.509,1,WAP (feat. Megan Thee Stallion),86,2020-08-07,0.375,133.073
0.582,2016,0.0727,Diana Gordon,0.592,162289,0.748,1,6y9tReT7vv75yOzYonZlCN,0,4,0.378,-2.723,1,Woman,0,2016-08-23,0.0524,89.985
0.462,2008,0.000334,P!nk,0.534,215160,0.87,1,0JiY190vktuhSGN6aqJdrt,0,11,0.241,-3.078,0,So What,78,2008-10-24,0.0425,126.019
0.786,2019,0.256,Doja Cat,0.787,237893,0.673,1,3Dv1eDb0MEgF93GpLXlucZ,3.57e-06,11,0.0904,-4.577,0,Say So,84,2019-11-07,0.158,110.962
0.438,2019,0.146,TT The Artist,0.586,205585,0.529,0,5w0QQ6gJId9piIveSua8IY,5.7e-05,1,0.0748,-6.771,0,Diamonds,31,2019-04-30,0.221,94.967
0.313,2019,0.471,Labrinth,0.316,153294,0.63,0,6N22FZs2ZhPBYi3b9XPajV,0.262,5,0.205,-5.963,1,Still Don't Know My Name,81,2019-10-04,0.117,89.643
0.792,2019,0.0124,JGrrey,0.715,172910,0.735,0,1nPgx4Q9edLlooxkg46HrA,0.000367,9,0.386,-7.067,1,For Keeps,56,2019-11-14,0.106,102.976
