valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.472,2020,0.935,Rikard From,0.666,204875,0.354,0,4UQBp5wMIPImW0kt78ojSk,0.924,4,0.108,-15.617,1,It's an Upright Thing,19,2020-06-04,0.0372,114.023
0.362,2019,0.672,Lafayette Harris,0.484,315587,0.278,0,5JnVSvNTtEPLe2xM1EvXGs,0.362,8,0.0923,-17.089,1,Wonder Why,44,2019-11-01,0.037,145.351
0.385,2019,0.928,Maxeen,0.644,230313,0.267,0,3CGqAtOKUe4pn3j9kOKp4J,0.866,6,0.11,-18.116,0,Mo' Better Blues,51,2019-11-22,0.0307,88.341
0.587,2020,0.822,Erroll Garner,0.488,156734,0.43,0,4GX1jcZDOdxKSEDfloNVqg,0.836,5,0.184,-11.371,0,Lovely to Look At - Remastered 2020,0,2020-05-22,0.0352,106.711
0.687,2020,0.84,Simon Westman Trio,0.384,332392,0.39,0,1w8AuoB6mjP8MsnHRoDSkW,0.899,11,0.102,-17.377,1,Jakob’s Happy Song,47,2020-05-23,0.0275,105.386
0.892,1968,0.689,Blue Mitchell,0.688,339267,0.552,0,1x217IcZCRrvizzbwgPg6H,0.194,7,0.0853,-9.313,1,The People In Nassau,43,1968-12-08,0.0359,110.082
0.764,2020,0.157,Jørgen Emborg,0.609,349061,0.654,0,6XbnOMT8ZYQtombZHv6fDp,0.721,1,0.0658,-10.006,1,Running,39,2020-10-16,0.0338,105.11
0.853,2020,0.541,Förnuft och Känsla,0.637,279975,0.335,0,6DLfsQt62XFWihmhU5NDo5,0.782,5,0.0977,-16.119,1,Händelse,39,2020-06-06,0.0443,91.941
0.78,2020,0.245,Massimo Faraò,0.458,353280,0.402,0,7FoszDSSSG1bFxDl6QDZ0l,0.68,3,0.129,-15.809,1,Will You Still Be Mine?,45,2020-08-24,0.0383,143.823
0.489,2019,0.872,CMC 3,0.607,262000,0.247,0,418awaNpluyE2Lvoh6lD0p,0.891,0,0.118,-16.756,1,Love Is Here To Stay,53,2019-06-14,0.0348,129.944
0.256,2020,0.828,Emmet Cohen,0.405,324696,0.354,0,6ASQ9b6KAHrwKcfgBIeTQw,0.816,7,0.104,-14.391,1,Dardanella,3,2020-10-02,0.0354,142.061
0.739,2020,0.873,Peter Bernstein,0.493,308480,0.478,0,1djanB1pGdTRSKHbiJQsUX,0.875,7,0.0823,-11.766,1,Newark News,39,2020-10-09,0.0389,95.714
0.743,2020,0.557,Hegge,0.325,406213,0.581,0,6mLWHZHMceU8qX8uQx8k8M,0.577,8,0.0714,-7.304,1,Feeling,39,2020-05-21,0.0358,203.994
0.702,2019,0.89,Eric Rowland,0.609,225146,0.485,0,2HyhUHo9i6tsAEjb8Rjvmk,0.554,5,0.1,-10.634,0,Soon,46,2019-12-13,0.0348,112.238
0.633,2020,0.235,Jørgen Emborg,0.524,272795,0.608,0,7xM0zRlSfbnHHq16CoN9ye,0.724,4,0.0595,-10.14,0,On The Second Day,47,2020-09-18,0.0356,115.161
0.56,2020,0.473,Alan Braufman,0.287,312187,0.816,0,0i8VanadPWjrRCzvjR4fTz,0.927,8,0.452,-6.125,1,Morning Bazaar,47,2020-08-28,0.0572,137.458
