valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.0592,2019,0.839,Harry Styles,0.567,240133,0.267,0,1ZMiCix7XSAbfAJlEZWMCp,1.46e-06,4,0.089,-6.502,1,Falling,85,2019-12-13,0.0299,110.011
0.132,2021,0.721,Olivia Rodrigo,0.585,242014,0.436,1,7lPN2DXiMsVn7XUKtOW1CS,1.31e-05,10,0.105,-8.761,1,drivers license,91,2021-01-08,0.0601,143.874
0.225,2016,0.701,James Arthur,0.311,208827,0.485,0,55Am8neGJkdj2ADaM3aw5H,0,6,0.0726,-5.726,0,Train Wreck,84,2016-10-28,0.0365,77.355
0.221,2014,0.22,One Direction,0.681,248360,0.582,0,3JjnGLK8IxkNLvo8Lb3KOM,0,6,0.119,-7.76,0,18,79,2014-11-17,0.0313,124.038
0.196,2020,0.613,Rosie Darling,0.502,190267,0.444,1,0RjKWagIjeOoxpsiCT4gls,0,6,0.103,-7.294,1,Coping,45,2020-11-06,0.116,157.604
0.408,2020,0.89,Sam Fischer,0.731,211813,0.233,0,5wV2TAUTKHcKgaEB6XnWDI,0,1,0.3,-11.109,1,For Now,63,2020-11-27,0.0376,108.008
0.256,2017,0.881,Ruth B.,0.405,303653,0.279,0,21dpBHPTV7ythCHBI6Slcw,0,10,0.0933,-8.099,1,If By Chance,71,2017-05-05,0.0334,119.85
0.137,2018,0.8,Alessia Cara,0.481,227693,0.267,0,4WzhjxvLP95y7AMDy0Atwb,0,7,0.249,-9.249,1,Out Of Love,77,2018-11-30,0.0339,117.64
0.194,2009,0.142,Miley Cyrus,0.459,248587,0.545,0,7ywzEdEuVG1lsjsRCGJfLy,0,6,0.105,-4.874,1,When I Look At You,65,2009-01-01,0.0282,137.941
0.32,2017,0.912,Halsey,0.447,220541,0.257,0,2DyCLtTrd9f2DRRDq1ngJx,0,5,0.117,-9.172,0,Sorry,0,2017-06-02,0.0394,136.87
0.479,2016,0.308,James Arthur,0.696,246880,0.543,0,0VhgEqMTNZwYL1ARDLLNCX,0,11,0.0939,-6.164,1,Can I Be Him,77,2016-10-28,0.0489,107.969
0.239,2020,0.815,SHY Martin,0.636,163547,0.243,0,1Ia95g66IhlAJ3qVI4qI8W,0,2,0.111,-9.509,1,Slow,67,2020-01-10,0.04,142.016
0.446,2018,0.751,Lewis Capaldi,0.501,182161,0.405,0,2TIlqbIneP0ZY1O0EzYLlc,0,1,0.105,-5.679,1,Someone You Loved,79,2018-11-08,0.0319,109.891
